时间  类别编号  类别名称  产品编号  产品名称  销量  收入  成本  
1010  20000  洗发水200ML  47664325  黑亮长效去屑洗发露7mlX10袋  48  240  179.975  
1010  20000  洗发水200ML  47664328  多效护养洗发露7mlX10袋  40  200  149.994  
1010  20000  洗发水200ML  47664329  多效护理洗发露200ml(绥中)  18  333  256.288  
1010  20000  洗发水200ML  47664330  新生固发洗发水  58  608.5  435.035  
1010  20000  洗发水200ML  47664331  活泉水润60ML组合旅行装  328  1900  1639.989  
1010  20000  洗发水200ML  47664332  薄荷洗发水  20  712.5  529.981  
1010  20000  洗发水200ML  47664338  袋洗发水8克X10袋  410  1329.5  1025.008  
1010  20000  洗发水200ML  47664339  花香荷荷芭油去屑洗发水200ml  68  1088  906.955  
1010  20000  洗发水200ML  47664340  男士洗发水200ML  180  2553  2025.065  
1010  20000  洗发水200ML  47664344  焗油黑亮洗发水200ml  124  1263.75  1084.882  
1010  20000  洗发水200ML  47664348  花香荷荷芭油护理洗发水200ml  42  672  547.501  
1010  20000  洗发水200ML  47664354  精华护理鲜果保湿洗发露200ml  4  60.5  59.992  
1010  20000  洗发水200ML  47664369  柔顺洗发露200ml  2  28.75  19.51  
1010  20000  洗发水200ML  47664416  去屑滋养洗发露200ml  196  2921.5  2690.035  
1010  20000  洗发水200ML  47664454  滋养修护型洗发露200ml  26  629  531.882  
1010  20000  洗发水200ML  47664471  净爽补水型洗发露200ml  16  379.75  327.366  
1010  20000  洗发水200ML  47664570  蛇胆清爽洗发水200ml  82  800.5  676.26  
1010  20000  洗发水200ML  47664732  莉儿童柔润营养洗发露260ml  20  395  314.964  
1010  20000  洗发水200ML  47664733  莉婴儿二合一沐浴露260ml  28  545.5  441.002  
1010  20000  洗发水200ML  47664736  去屑营养洗发水200ml  42  672  551.245  
1010  20000  洗发水200ML  47664737  去屑柔顺洗发水200ml  40  640  525.008  
1010  20000  洗发水200ML  47664738  焗油营养洗发水200ml  46  736  603.779  
1010  20000  洗发水200ML  47664739  去屑清爽洗发水200ml  22  352  284.778  
1010  20000  洗发水200ML  47664781  怡神劲爽洗发露200ml  42  775.5  619.808  
1010  20000  洗发水200ML  47664794  人参养发中药洗发水200ml  2  41.25  37.996  
1010  20000  洗发水200ML  47664795  凝水局油洗发露200ml  12  156  133.497  
1010  20000  洗发水200ML  47664796  乳液修护洗发露200ml  8  104  89.008  
1010  20000  洗发水200ML  47664797  首乌固发中药洗发水200ml  8  165  152.012  
1010  20000  洗发水200ML  47664891  洗发水200ml  166  3063  2705.625  
1010  20000  洗发水200ML  47664894  深层海养去屑洗发水200ml  60  1083.25  977.798  
1010  20000  洗发水200ML  47664897  蚕丝柔顺洗发水200ml  156  2759.25  2537.32  
1010  20000  洗发水200ML  47664930  去屑洗发水200ml  162  2019  1761.259  
1010  20000  洗发水200ML  47664941  水润丝滑型洗发露200ml  88  1885.75  1800.133  
1010  20000  洗发水200ML  47664944  护理润黑莹高洗发露200ml  48  640  537.03  
1010  20000  洗发水200ML  47664945  滋润顺滑洗发水200ml  444  5614  4805.512  
1010  20000  洗发水200ML  47664946  清爽去屑洗发水200ml  102  1373.5  1114.279  
1010  20000  洗发水200ML  47664947  护理滋养支屑洗发露200ml  50  672.5  558.734  
1010  20000  洗发水200ML  47664964  荷荷芭油去屑洗发露200ml  48  768  659.997  
1010  20000  洗发水200ML  47664974  莉负离子洗发露220ml  36  785.75  623.054  
1010  20000  洗发水200ML  47664976  莉阳离子洗发露220ml  2  42  33.608  
1010  20000  洗发水200ML  47664978  莉游离子洗发露220ml  42  882  707.558  
1010  20000  洗发水200ML  47665027  5局油洗发露(保湿)200ml  30  480  379.519  
